Age,Gender,EmploymentYears,HomeOwnership,MaritalStatus,AnnualIncome,LoanAmount,LoanTermMonths,CreditScore,NumCreditCards,DebtToIncomeRatio,PreviousDefaults,Default
38,Female,12,Rent,Single,746937,263873,12,719,2,0.35,0,0
46,Male,24,Mortgage,Single,722814,213905,48,672,3,0.3,0,0
64,Male,38,Mortgage,Single,927582,365868,60,697,3,0.39,0,0
54,Female,32,Mortgage,Married,912870,332562,24,689,0,0.36,0,0
30,Male,5,Rent,Single,437437,171886,48,658,3,0.39,0,0
56,Female,28,Mortgage,Married,793400,328639,60,635,3,0.41,0,0
34,Female,6,Own,Married,601040,330573,24,685,1,0.55,0,1
51,Male,23,Rent,Married,774226,372756,12,688,1,0.48,0,0
68,Female,45,Rent,Single,1215494,898840,60,768,5,0.74,0,0
35,Male,9,Own,Married,267392,66114,24,730,6,0.25,0,1
28,Male,7,Rent,Married,830841,172487,36,669,3,0.21,0,0
34,Male,9,Mortgage,Married,511640,157253,36,695,1,0.31,0,0
43,Female,17,Mortgage,Married,625442,441858,36,670,5,0.71,0,0
60,Male,34,Mortgage,Divorced,911523,499970,48,715,2,0.55,0,0
41,Male,15,Rent,Married,884144,383260,48,679,4,0.43,0,0
36,Male,12,Own,Single,465751,99561,48,641,6,0.21,0,1
65,Male,44,Own,Married,1183000,538280,36,731,4,0.46,1,0
38,Male,14,Mortgage,Divorced,665986,202981,36,676,3,0.3,0,0
67,Male,44,Mortgage,Married,1078967,326968,24,670,5,0.3,0,0
44,Male,17,Rent,Single,600999,471042,36,686,6,0.78,0,0
46,Male,23,Own,Married,869280,565338,24,598,2,0.65,1,0
45,Male,22,Own,Married,907347,317155,60,779,2,0.35,0,0
65,Female,37,Mortgage,Single,1094107,835323,36,768,4,0.76,0,0
61,Female,34,Rent,Married,839445,279249,36,808,3,0.33,0,0
49,Male,27,Own,Divorced,865488,223321,48,662,4,0.26,0,1
35,Female,8,Mortgage,Single,534039,227848,24,684,5,0.43,0,0
65,Male,43,Rent,Married,962395,707195,36,679,7,0.73,0,0
21,Male,0,Own,Married,338137,189917,48,565,2,0.56,0,0
45,Female,20,Mortgage,Married,899886,615569,24,694,3,0.68,0,0
27,Female,6,Rent,Single,567889,151011,36,695,3,0.27,0,1
29,Female,2,Mortgage,Married,581850,237912,60,598,2,0.41,0,0
44,Female,23,Own,Married,711138,481070,24,691,0,0.68,0,1
21,Male,0,Rent,Married,455570,270510,60,584,4,0.59,0,0
64,Female,41,Mortgage,Married,1171103,506768,36,742,5,0.43,0,0
28,Female,5,Mortgage,Single,494483,336836,24,684,4,0.68,2,0
44,Male,18,Mortgage,Single,732397,495338,36,768,1,0.68,0,0
31,Female,9,Rent,Married,327309,150971,60,692,5,0.46,0,0
37,Male,13,Rent,Single,595030,122251,48,733,4,0.21,0,0
28,Female,2,Own,Single,267200,69594,36,645,4,0.26,0,0
55,Male,27,Rent,Married,659353,203583,36,728,3,0.31,0,0
55,Male,28,Own,Single,801106,277140,60,743,1,0.35,0,0
53,Female,32,Rent,Single,1160925,328872,36,636,3,0.28,0,1
25,Male,4,Mortgage,Single,444926,197017,48,678,4,0.44,0,1
62,Female,38,Mortgage,Divorced,1347911,1069848,36,726,0,0.79,0,0
59,Male,38,Mortgage,Single,1092638,441469,48,743,1,0.4,0,0
61,Male,40,Mortgage,Single,1015403,290995,60,824,1,0.29,0,0
48,Male,21,Mortgage,Married,657010,399515,48,691,4,0.61,0,0
27,Female,0,Own,Married,338861,226134,60,621,5,0.67,0,0
29,Female,7,Mortgage,Single,775803,406707,48,640,3,0.52,0,0
28,Female,7,Rent,Single,433435,187931,60,672,2,0.43,0,0
32,Female,9,Mortgage,Single,700093,536033,12,680,1,0.77,0,1
54,Male,31,Own,Married,659720,147862,36,776,2,0.22,0,0
53,Male,28,Rent,Married,905836,431917,12,772,4,0.48,0,0
68,Male,45,Mortgage,Married,1145777,762654,12,761,1,0.67,0,0
43,Female,21,Rent,Married,660714,199060,48,649,3,0.3,0,0
44,Female,16,Mortgage,Married,775705,520617,36,669,2,0.67,0,0
57,Male,29,Own,Married,780676,172355,48,704,2,0.22,1,0
55,Male,27,Own,Married,836193,208596,36,736,2,0.25,0,0
64,Male,41,Own,Married,1075364,543627,48,715,1,0.51,0,1
60,Female,38,Mortgage,Single,1177218,762690,36,730,3,0.65,0,0
42,Male,14,Mortgage,Divorced,592697,472104,48,662,2,0.8,0,0
47,Female,20,Mortgage,Single,610692,196373,36,624,3,0.32,0,0
55,Male,33,Rent,Married,1094153,869356,24,644,3,0.79,0,1
21,Male,0,Own,Single,431374,98913,36,687,3,0.23,0,0
55,Female,27,Rent,Married,896619,662737,36,739,1,0.74,0,0
57,Male,33,Rent,Single,1027617,455101,36,739,3,0.44,0,0
67,Female,41,Rent,Single,766726,206331,48,768,2,0.27,0,0
34,Male,13,Rent,Single,465788,371048,60,618,4,0.8,0,0
23,Male,0,Own,Single,280985,96339,36,655,4,0.34,0,0
21,Male,0,Mortgage,Single,329762,81503,48,651,4,0.25,0,0
25,Female,1,Own,Married,355239,199395,36,630,5,0.56,0,0
46,Female,25,Own,Married,816712,300852,36,692,2,0.37,0,0
34,Male,11,Rent,Divorced,492384,104254,60,695,0,0.21,0,0
59,Male,35,Mortgage,Single,865409,638932,36,772,4,0.74,0,0
47,Female,19,Mortgage,Married,627249,492730,48,671,2,0.79,0,0
29,Male,1,Own,Divorced,281127,62751,36,700,1,0.22,0,0
35,Male,7,Rent,Single,368429,287539,48,603,4,0.78,0,0
35,Male,14,Rent,Divorced,700431,401213,36,630,7,0.57,0,0
46,Female,21,Own,Married,905896,291860,48,710,3,0.32,0,0
62,Male,41,Own,Married,1052020,486093,36,723,1,0.46,0,0
33,Male,11,Mortgage,Married,505095,231876,24,724,2,0.46,0,1
52,Male,26,Rent,Married,711211,350524,48,712,1,0.49,0,0
59,Male,31,Rent,Single,877546,321645,12,765,2,0.37,0,0
69,Male,45,Rent,Single,1003519,223312,60,728,3,0.22,0,0
52,Female,29,Own,Married,467233,302747,36,700,3,0.65,0,0
24,Male,0,Rent,Married,478828,252146,36,622,0,0.53,2,0
50,Male,23,Rent,Single,744251,591378,24,674,6,0.79,1,0
57,Male,33,Own,Divorced,924051,341477,48,684,2,0.37,0,0
43,Female,15,Rent,Single,743329,485722,24,740,1,0.65,0,0
59,Male,31,Mortgage,Married,1045087,255197,48,681,0,0.24,1,0
65,Female,44,Mortgage,Married,877336,332190,24,737,1,0.38,0,0
35,Male,10,Rent,Married,566579,290375,24,674,1,0.51,0,0
63,Male,40,Rent,Married,1138119,705246,48,743,3,0.62,0,1
49,Male,22,Rent,Married,971039,619946,36,686,3,0.64,0,0
56,Female,30,Mortgage,Married,680982,165417,36,765,2,0.24,0,0
33,Female,9,Own,Married,645676,364479,48,598,4,0.56,0,0
52,Male,25,Own,Married,729267,213774,36,682,4,0.29,0,0
27,Male,6,Own,Single,236327,183864,36,654,3,0.78,0,0
42,Male,19,Rent,Married,863813,555153,48,658,3,0.64,0,0
48,Male,26,Mortgage,Married,579137,413759,36,782,2,0.71,0,0
22,Male,0,Mortgage,Married,487147,296658,36,622,5,0.61,0,0
62,Male,37,Mortgage,Married,1012549,611460,12,726,1,0.6,0,0
65,Female,44,Rent,Single,761674,240848,12,705,1,0.32,0,0
26,Male,3,Own,Married,518321,192483,48,582,1,0.37,0,0
48,Male,24,Own,Single,985056,690608,36,680,3,0.7,0,1
48,Male,20,Own,Married,686333,410614,60,708,5,0.6,0,0
64,Male,40,Rent,Married,903802,610469,60,730,2,0.68,0,0
64,Male,40,Mortgage,Married,1003355,771183,12,708,2,0.77,0,1
40,Male,16,Mortgage,Married,759898,546138,12,668,1,0.72,0,0
50,Male,29,Own,Married,841332,398188,36,636,3,0.47,0,0
31,Female,10,Rent,Married,545387,397508,36,618,6,0.73,0,0
48,Male,21,Own,Married,507474,316777,24,668,3,0.62,0,1
45,Male,20,Rent,Married,704818,169407,24,614,3,0.24,0,0
59,Female,32,Mortgage,Single,789940,604009,48,738,3,0.76,0,0
53,Male,30,Rent,Married,1048863,319700,36,729,2,0.3,0,0
21,Female,0,Rent,Divorced,396119,262616,60,657,1,0.66,0,0
47,Male,26,Own,Single,885994,312341,48,698,1,0.35,0,1
33,Female,6,Own,Married,612683,244672,60,694,6,0.4,0,0
61,Female,33,Mortgage,Married,918425,604612,24,685,2,0.66,0,0
23,Female,0,Rent,Married,309010,153739,24,710,5,0.5,2,0
59,Female,37,Rent,Single,1005028,536812,36,649,4,0.53,2,0
26,Male,0,Own,Married,610996,393744,36,645,6,0.64,0,0
28,Female,3,Own,Single,216680,125306,48,629,2,0.58,0,0
47,Male,23,Own,Married,671996,316947,36,683,1,0.47,2,1
29,Female,1,Rent,Single,471159,364188,48,666,5,0.77,0,0
57,Male,31,Own,Married,1106864,821652,48,738,4,0.74,0,0
53,Female,25,Own,Divorced,801658,507811,24,757,1,0.63,0,0
62,Female,39,Mortgage,Single,943371,689058,36,723,3,0.73,0,1
64,Female,42,Own,Single,814863,253897,12,737,2,0.31,0,0
44,Male,16,Own,Single,648437,260354,48,697,1,0.4,0,0
35,Female,10,Mortgage,Divorced,715566,197081,24,601,3,0.28,0,0
52,Male,25,Rent,Married,796894,529888,48,700,0,0.66,0,0
52,Male,24,Own,Married,475774,284155,36,685,8,0.6,0,0
44,Male,23,Mortgage,Single,608222,128666,24,698,2,0.21,0,0
61,Female,38,Rent,Divorced,843202,600753,36,715,3,0.71,0,0
69,Female,45,Mortgage,Single,1075317,236631,24,764,4,0.22,0,0
69,Female,45,Mortgage,Married,801189,421678,24,751,6,0.53,0,0
32,Male,7,Rent,Married,462479,212341,36,669,3,0.46,0,0
59,Female,31,Rent,Single,1006565,693767,48,739,5,0.69,0,1
22,Male,0,Rent,Divorced,460943,220315,48,659,3,0.48,0,0
23,Male,0,Own,Married,323773,134840,36,661,3,0.42,0,0
69,Male,42,Mortgage,Single,1169493,694884,36,707,1,0.59,1,0
57,Female,36,Own,Married,927947,605194,12,718,3,0.65,0,0
69,Male,45,Own,Married,768475,537177,36,716,1,0.7,0,0
37,Male,10,Rent,Married,308777,123903,48,619,3,0.4,0,0
69,Female,43,Own,Single,1106033,878603,36,735,5,0.79,0,0
22,Male,0,Mortgage,Divorced,385760,209895,36,607,3,0.54,1,0
22,Female,0,Own,Single,439341,262361,12,645,2,0.6,0,1
48,Male,20,Own,Single,869392,574137,48,661,3,0.66,1,1
43,Male,21,Rent,Married,575191,401346,36,679,2,0.7,0,0
57,Female,33,Rent,Married,1096807,428361,48,754,2,0.39,0,0
52,Male,24,Rent,Single,381579,136873,24,683,3,0.36,0,0
53,Female,28,Rent,Single,695990,435065,48,718,3,0.63,0,0
21,Male,0,Rent,Single,379463,287086,36,663,3,0.76,2,1
39,Male,13,Own,Single,523729,114344,48,701,3,0.22,0,0
22,Female,0,Mortgage,Married,231441,94979,36,677,3,0.41,1,0
64,Male,38,Rent,Single,1039341,284996,12,705,10,0.27,0,0
46,Female,25,Rent,Divorced,827671,494155,48,697,2,0.6,2,0
52,Male,26,Own,Married,820438,491706,60,720,3,0.6,0,0
26,Male,3,Mortgage,Single,347153,72120,36,697,1,0.21,0,0
52,Female,29,Rent,Married,721454,485856,60,679,3,0.67,0,1
24,Male,2,Mortgage,Married,438961,225414,24,658,3,0.51,0,0
31,Male,8,Rent,Married,584407,188095,12,754,5,0.32,0,0
37,Female,12,Mortgage,Married,549277,346613,48,678,2,0.63,0,0
58,Female,36,Own,Married,879477,629971,48,690,4,0.72,0,0
44,Male,16,Rent,Married,521194,176321,12,723,2,0.34,0,0
25,Female,3,Rent,Single,385222,80927,36,644,8,0.21,0,0
54,Female,30,Mortgage,Married,752067,589477,48,714,2,0.78,0,0
26,Male,0,Rent,Married,458138,173956,24,682,1,0.38,0,0
42,Male,16,Mortgage,Single,668645,394682,36,609,2,0.59,0,0
31,Male,8,Mortgage,Married,639304,295676,24,665,3,0.46,1,0
68,Female,44,Rent,Married,949691,523417,24,771,7,0.55,0,0
36,Female,12,Mortgage,Single,540454,379288,48,614,3,0.7,0,1
53,Female,27,Mortgage,Single,701690,266547,48,697,5,0.38,0,0
29,Female,1,Rent,Single,533968,216939,48,591,1,0.41,0,0
26,Male,4,Rent,Married,272726,70162,36,624,5,0.26,0,0
36,Male,12,Mortgage,Divorced,412037,218323,12,691,3,0.53,0,0
49,Male,25,Own,Divorced,1003687,778861,60,686,5,0.78,0,0
23,Male,1,Mortgage,Married,285815,112465,48,690,1,0.39,0,0
40,Female,18,Mortgage,Single,683455,503220,24,677,4,0.74,0,1
56,Female,35,Rent,Married,854426,204586,12,848,4,0.24,1,0
39,Male,16,Rent,Single,568486,238110,36,700,4,0.42,0,0
46,Male,25,Mortgage,Single,705271,548670,36,714,4,0.78,0,1
23,Female,0,Mortgage,Married,262876,174852,12,621,1,0.67,0,1
39,Male,11,Rent,Single,549755,123341,36,648,6,0.22,0,1
40,Male,13,Mortgage,Single,585216,220076,36,634,5,0.38,0,0
52,Female,30,Rent,Married,1059627,264207,60,681,2,0.25,0,0
27,Male,2,Rent,Married,411920,250758,36,706,1,0.61,0,0
61,Female,37,Own,Single,881571,237713,60,792,2,0.27,0,0
53,Male,29,Mortgage,Married,1121606,681981,48,755,2,0.61,1,0
60,Female,38,Rent,Single,743179,155334,36,731,0,0.21,0,0
59,Female,35,Rent,Single,960594,294698,12,712,2,0.31,0,1
38,Male,17,Rent,Married,703047,383709,12,651,2,0.55,0,1
60,Male,36,Mortgage,Single,917620,593533,36,741,2,0.65,1,0
21,Male,0,Rent,Single,401944,166716,36,618,3,0.41,0,0
31,Male,3,Own,Married,289528,61114,48,666,3,0.21,0,0
48,Male,25,Rent,Married,1051168,269876,60,722,3,0.26,0,0
45,Female,19,Own,Married,797555,352107,48,742,5,0.44,0,0
43,Female,17,Mortgage,Married,618190,361942,36,752,1,0.59,0,0
51,Female,23,Mortgage,Single,681186,453267,48,693,4,0.67,0,0
50,Male,24,Rent,Single,471513,120833,24,653,2,0.26,2,1
62,Female,35,Rent,Single,641045,256114,24,670,4,0.4,0,0
55,Male,34,Mortgage,Married,904806,290186,36,776,2,0.32,0,0
27,Female,4,Own,Single,443495,89421,48,658,3,0.2,0,0
36,Female,13,Rent,Married,605776,336007,48,667,1,0.55,1,0
46,Female,21,Mortgage,Married,728724,412072,36,690,3,0.57,0,0
68,Female,42,Rent,Single,1090163,241349,36,722,3,0.22,0,0
69,Male,44,Rent,Married,1045596,328873,48,747,7,0.31,0,0
22,Male,0,Mortgage,Married,429118,148074,24,682,4,0.35,0,0
21,Female,0,Rent,Married,494228,211063,24,628,6,0.43,3,1
68,Male,42,Rent,Single,936756,320815,48,683,2,0.34,0,0
32,Male,11,Own,Married,718905,328640,24,752,4,0.46,3,0
25,Female,0,Own,Single,467119,177411,12,641,2,0.38,0,0
57,Female,32,Mortgage,Married,904407,695783,24,650,9,0.77,0,0
52,Male,31,Rent,Married,1128583,689878,12,724,0,0.61,0,0
29,Male,5,Rent,Married,543324,164454,60,674,1,0.3,0,0
61,Male,33,Own,Single,657516,471906,60,714,7,0.72,0,0
55,Female,32,Rent,Single,1058089,610291,12,764,2,0.58,0,0
39,Male,13,Own,Divorced,469186,358866,60,670,5,0.76,0,0
68,Female,44,Own,Single,1349433,577547,36,772,4,0.43,0,0
36,Female,9,Rent,Single,561314,268620,48,803,3,0.48,0,0
23,Male,0,Rent,Single,432842,223122,36,630,4,0.52,0,0
40,Male,16,Mortgage,Married,530745,220972,12,673,2,0.42,0,0
44,Male,22,Own,Married,832847,447133,60,680,2,0.54,1,0
53,Female,27,Rent,Single,630970,208229,12,689,2,0.33,0,1
44,Male,20,Rent,Divorced,673132,342346,12,691,2,0.51,0,0
31,Female,7,Rent,Divorced,500050,228892,24,723,5,0.46,1,0
69,Male,45,Own,Married,1052988,471378,24,732,4,0.45,0,0
28,Male,2,Rent,Married,341315,103924,12,669,5,0.3,0,0
56,Female,29,Mortgage,Single,905746,372765,12,657,3,0.41,0,0
58,Male,34,Own,Married,1118765,582092,48,769,3,0.52,0,0
60,Female,38,Rent,Married,1031134,816365,60,745,2,0.79,0,0
40,Male,12,Rent,Single,622149,271896,12,706,5,0.44,0,0
55,Female,28,Own,Married,1078079,307975,36,727,2,0.29,0,0
68,Female,45,Rent,Married,1046750,620578,36,777,3,0.59,0,0
45,Female,17,Own,Married,681020,270650,36,725,3,0.4,0,0
55,Male,32,Mortgage,Divorced,898733,292699,36,710,3,0.33,0,0
45,Male,20,Own,Married,585278,364650,36,665,6,0.62,0,0
49,Male,25,Rent,Single,992381,386980,12,766,3,0.39,0,0
38,Male,11,Own,Single,760740,406043,36,712,4,0.53,0,0
66,Female,45,Own,Married,1243237,409567,36,773,3,0.33,0,0
38,Male,15,Mortgage,Married,617709,430593,36,754,2,0.7,0,0
22,Male,0,Mortgage,Married,292983,141980,24,628,1,0.48,0,1
55,Female,28,Own,Single,617349,460477,48,689,2,0.75,0,0
36,Female,9,Rent,Single,158085,52645,24,646,3,0.33,0,0
61,Female,40,Mortgage,Married,1118043,316176,48,730,3,0.28,0,0
56,Male,34,Own,Single,1293944,507163,36,646,2,0.39,0,0
53,Male,26,Rent,Married,728833,457723,24,688,5,0.63,0,1
24,Male,3,Own,Married,466928,220835,12,748,0,0.47,0,0
53,Male,26,Mortgage,Married,934597,586539,24,735,3,0.63,2,0
34,Male,10,Own,Divorced,512682,194741,36,593,4,0.38,0,0
41,Female,17,Mortgage,Married,741550,446269,48,756,3,0.6,0,0
68,Male,42,Own,Single,872940,482995,36,724,2,0.55,0,0
40,Male,15,Own,Married,610145,341664,24,625,1,0.56,0,0
28,Male,0,Own,Married,150000,48844,36,743,4,0.33,0,0
27,Male,2,Own,Married,370380,219553,36,649,3,0.59,0,1
23,Male,0,Rent,Married,344473,87057,24,678,3,0.25,0,1
37,Male,16,Own,Married,728456,413517,24,649,0,0.57,0,1
53,Male,26,Mortgage,Married,659414,155967,60,686,2,0.24,0,0
68,Male,41,Mortgage,Married,1059091,699492,36,725,5,0.66,1,0
32,Male,4,Rent,Married,345419,179402,60,649,1,0.52,0,0
42,Female,16,Mortgage,Married,493133,314221,36,710,2,0.64,0,1
42,Male,14,Mortgage,Single,774668,515993,48,598,1,0.67,0,0
66,Male,38,Rent,Married,862459,188140,12,762,4,0.22,0,0
50,Female,24,Rent,Married,721397,366310,36,752,3,0.51,0,1
58,Male,31,Own,Married,901918,692612,24,699,4,0.77,0,0
58,Female,31,Own,Married,631640,316651,48,698,1,0.5,0,0
65,Female,41,Mortgage,Married,1174360,796964,48,698,6,0.68,0,0
28,Male,7,Rent,Married,481231,322223,36,640,2,0.67,0,0
47,Female,23,Rent,Married,887387,341687,12,747,5,0.39,0,0
47,Female,24,Rent,Single,749683,423936,60,737,5,0.57,0,0
54,Male,33,Rent,Married,794941,217623,36,691,3,0.27,0,0
41,Female,19,Rent,Married,628248,138965,24,746,7,0.22,0,0
50,Male,23,Own,Single,526060,264401,24,643,3,0.5,0,0
53,Male,31,Own,Married,1090205,504687,48,724,2,0.46,0,0
48,Female,21,Rent,Single,801096,633246,24,713,2,0.79,1,0
67,Female,40,Own,Married,896634,308041,48,678,2,0.34,1,0
53,Female,28,Rent,Single,760100,418152,36,716,2,0.55,0,0
25,Male,2,Own,Divorced,440774,232860,48,620,3,0.53,0,0
68,Male,40,Rent,Married,995851,250913,48,793,4,0.25,0,0
39,Female,17,Rent,Married,626214,428406,24,712,1,0.68,0,0
24,Male,0,Rent,Single,426307,338344,24,608,1,0.79,0,0
55,Female,31,Rent,Single,962386,474215,48,696,1,0.49,0,0
69,Male,45,Own,Married,976880,224413,24,656,3,0.23,0,0
37,Male,13,Mortgage,Married,385390,281060,24,568,5,0.73,0,0
64,Male,41,Own,Married,991296,343715,36,714,1,0.35,0,0
48,Male,20,Own,Married,841643,612855,48,720,5,0.73,0,0
50,Female,24,Rent,Divorced,613825,436402,12,662,0,0.71,1,0
49,Male,23,Mortgage,Married,504864,298849,24,642,4,0.59,0,0
66,Female,40,Rent,Married,1070662,780281,36,697,4,0.73,0,1
26,Male,0,Rent,Married,282101,64643,36,623,2,0.23,0,0
55,Male,30,Mortgage,Married,929501,657078,48,645,3,0.71,0,0
61,Female,33,Rent,Married,1095387,488090,60,774,3,0.45,0,0
57,Male,31,Rent,Married,879067,528594,48,672,5,0.6,0,0
44,Female,22,Own,Divorced,708483,337015,48,684,8,0.48,0,0
49,Female,24,Mortgage,Single,836115,514989,36,742,4,0.62,0,0
69,Female,43,Rent,Married,910016,370263,48,710,4,0.41,0,0
66,Male,40,Own,Single,889715,359131,24,733,5,0.4,0,0
51,Female,28,Own,Married,812583,266765,36,685,3,0.33,0,0
55,Female,34,Own,Married,978131,508257,36,667,4,0.52,2,1
53,Male,27,Mortgage,Married,787210,329899,48,754,6,0.42,0,0
41,Female,18,Rent,Single,719999,415657,36,646,4,0.58,0,1
52,Male,29,Own,Single,744917,344864,48,687,5,0.46,0,0
43,Male,16,Rent,Married,638369,493839,12,615,6,0.77,0,0
53,Male,30,Rent,Divorced,598544,414554,48,689,6,0.69,0,0
23,Female,2,Rent,Married,284938,155326,24,667,5,0.55,0,0
38,Female,17,Mortgage,Married,501574,253536,12,647,4,0.51,0,0
45,Male,22,Rent,Married,608009,463935,36,710,1,0.76,0,0
62,Male,41,Mortgage,Single,898319,240240,36,776,3,0.27,0,0
51,Female,23,Mortgage,Married,583165,402015,48,757,2,0.69,0,0
23,Male,0,Rent,Single,467317,110931,48,704,4,0.24,2,1
60,Male,37,Mortgage,Married,1003201,786381,24,719,4,0.78,0,0
66,Female,40,Rent,Single,840355,638032,48,708,0,0.76,0,1
44,Female,22,Mortgage,Married,1060882,516646,48,669,4,0.49,0,0
52,Male,28,Mortgage,Married,721092,207673,24,654,4,0.29,0,0
67,Male,44,Own,Divorced,1060731,272029,36,770,3,0.26,0,0
42,Female,14,Own,Married,564764,425896,36,707,2,0.75,0,0
43,Female,15,Mortgage,Married,751504,581469,60,704,5,0.77,0,0
22,Male,0,Rent,Married,233726,53051,36,577,4,0.23,1,1
47,Male,19,Rent,Single,631364,354924,60,736,10,0.56,0,0
62,Male,35,Mortgage,Married,897991,592071,48,702,3,0.66,1,0
22,Male,0,Own,Single,574762,370684,36,653,3,0.64,0,0
46,Female,24,Mortgage,Married,668781,298893,48,723,1,0.45,0,0
37,Male,9,Rent,Single,631296,291727,12,692,6,0.46,0,0
60,Female,35,Own,Married,835150,476629,12,767,2,0.57,1,0
53,Female,25,Rent,Single,818822,614466,48,733,2,0.75,0,0
29,Female,2,Mortgage,Single,511313,345073,12,640,6,0.67,0,0
63,Female,38,Own,Divorced,1268998,516968,12,724,1,0.41,0,0
68,Male,41,Mortgage,Married,1092111,280149,36,739,1,0.26,0,0
59,Male,37,Own,Married,989341,608954,60,850,4,0.62,0,0
